Model,Year,Kilometers,Fuel_Type,Price
Honda City i DTEC VX,2015,109839, Diesel ,5500
Honda City i DTEC VX,2015,105773, Diesel ,3500
Honda City i DTEC VX,2015,101466, Diesel ,5650
Honda City i DTEC VX,2015,100818, Diesel ,4500
Honda City i DTEC VX,2015,100000, Diesel ,6850
Honda City i DTec VX,2015,100000, Diesel ,6200
Honda City i DTEC VX,2015,96395, Diesel ,4000
Honda City i DTEC VX,2015,76670, Diesel ,4360
Honda City i DTEC VX,2015,71773, Diesel ,4300
Honda City i DTEC VX,2015,68000, Diesel ,5300
Honda City i DTEC VX,2015,64000, Diesel ,5490
Honda City i DTEC VX,2015,56597, Diesel ,5150
Honda City i DTEC VX,2015,50500, Diesel ,6490
Honda City i DTEC VX,2015,50000, Diesel ,5550
Honda City i DTEC VX,2015,49970, Diesel ,6500
Honda City i DTEC VX,2015,47438, Diesel ,4850
Honda City i DTEC VX,2015,28451, Diesel ,7000
Honda City i DTEC VX,2016,151181, Diesel ,5000
Honda City i DTEC VX,2016,129835, Diesel ,5200
Honda City i DTec VX,2016,82000, Diesel ,7250
Honda City i DTec VX,2016,66731, Diesel ,5710
Honda City i DTEC VX,2016,50393, Diesel ,5500
Honda City i DTEC VX,2016,39000, Diesel ,6100
Honda City i DTec VX,2017,100000, Diesel ,8250
Honda City i DTEC VX,2017,74000, Diesel ,8250
Honda City i DTec VX,2017,31000, Diesel ,9750
Honda City i DTec VX,2018,120000, Diesel ,9000
Honda City i DTec VX,2018,60000, Diesel ,9000
Honda City i DTec VX,2018,60000, Diesel ,9000
Honda City i DTec VX,2019,54000, Diesel ,9900
Honda City i DTec VX,2019,42240, Diesel ,8000
Honda City i DTec VX,2019,40000, Diesel ,10900
Honda City i VTEC CVT SV,2014,58200, Petrol ,5450
Honda City i VTEC CVT SV,2014,33000, Petrol ,5750
Honda City i VTEC CVT SV,2015,96409, Petrol ,5900
Honda City i VTEC CVT SV,2015,69000, Petrol ,5850
Honda City i VTEC CVT SV,2015,57449, Petrol ,5750
Honda City i VTEC CVT SV,2015,18000, Petrol ,7250
Honda City i VTEC CVT SV,2016,50000, Petrol ,7800
Honda City i VTEC CVT SV,2016,50000, Petrol ,7800
Honda City i VTEC CVT SV,2016,32253, Petrol ,5100
Honda City i VTEC CVT SV,2016,16300, Petrol ,6000
Honda City i VTEC CVT VX,2012,68434, Petrol ,3950
Honda City i VTEC CVT VX,2013,61000, Petrol ,3900
Honda City i VTEC CVT VX,2013,28000, Petrol ,4600
Honda City i VTEC CVT VX,2014,122698, Petrol ,5500
Honda City i VTEC CVT VX,2014,115068, Petrol ,5500
Honda City i VTEC CVT VX,2014,96246, Petrol ,5910
Honda City i VTEC CVT VX,2014,93298, Petrol ,5650
Honda City i VTEC CVT VX,2014,90535, Petrol ,5240
Honda City i VTEC CVT VX,2014,80090, Petrol ,5800
Honda City i VTEC CVT VX,2014,80000, Petrol ,5750
Honda City i VTEC CVT VX,2014,79074, Petrol ,5850
Honda City i VTEC CVT VX,2014,76400, Petrol ,5950
Honda City i VTEC CVT VX,2014,75480, Petrol ,6500
Honda City i VTEC CVT VX,2014,59320, Petrol ,5510
Honda City i VTEC CVT VX,2014,59218, Petrol ,5500
Honda City i VTEC CVT VX,2014,57273, Petrol ,5680
Honda City i VTEC CVT VX,2014,56000, Petrol ,5450
Honda City i VTEC CVT VX,2014,56000, Petrol ,5150
Honda City i VTEC CVT VX,2014,55000, Petrol ,5250
Honda City i VTEC CVT VX,2014,50000, Petrol ,3750
Honda City i VTEC CVT VX,2014,47000, Petrol ,5550
Honda City i VTEC CVT VX,2014,45882, Petrol ,6000
Honda City i VTEC CVT VX,2014,43000, Petrol ,5250
Honda City i VTEC CVT VX,2014,39529, Petrol ,7000
Honda City i VTEC CVT VX,2014,37950, Petrol ,4150
Honda City i VTEC CVT VX,2014,22377, Petrol ,6000
Honda City i VTEC CVT VX,2014,16802, Petrol ,5000
Honda City i VTEC CVT VX,2015,125308, Petrol ,5000
Honda City i VTEC CVT VX,2015,120000, Petrol ,5500
Honda City i VTEC CVT VX,2015,109450, Petrol ,5000
Honda City i VTEC CVT VX,2015,105114, Petrol ,5680
Honda City i VTEC CVT VX,2015,103522, Petrol ,5500
Honda City i VTEC CVT VX,2015,95430, Petrol ,5000
Honda City i VTEC CVT VX,2015,94972, Petrol ,6600
Honda City i VTEC CVT VX,2015,94670, Petrol ,6000
Honda City i VTEC CVT VX,2015,92028, Petrol ,5780
Honda City i VTEC CVT VX,2015,85291, Petrol ,6000
Honda City i VTEC CVT VX,2015,77381, Petrol ,6000
Honda City i VTEC CVT VX,2015,76547, Petrol ,7340
Honda City i VTEC CVT VX,2015,75000, Petrol ,5250
Honda City i VTEC CVT VX,2015,74481, Petrol ,5750
Honda City i VTEC CVT VX,2015,74057, Petrol ,6890
Honda City i VTEC CVT VX,2015,73948, Petrol ,5150
Honda City i VTEC CVT VX,2015,69204, Petrol ,5600
Honda City i VTEC CVT VX,2015,66795, Petrol ,6490
Honda City i VTEC CVT VX,2015,65742, Petrol ,6030
Honda City i VTEC CVT VX,2015,64967, Petrol ,5800
Honda City i VTEC CVT VX,2015,56908, Petrol ,7120
Honda City i VTEC CVT VX,2015,55331, Petrol ,5900
Honda City i VTEC CVT VX,2015,52932, Petrol ,5650
Honda City i VTEC CVT VX,2015,50500, Petrol ,6490
Honda City i VTEC CVT VX,2015,50000, Petrol ,6500
Honda City i VTEC CVT VX,2015,49848, Petrol ,6500
Honda City i VTEC CVT VX,2015,48000, Petrol ,7650
Honda City i VTEC CVT VX,2015,47441, Petrol ,5500
Honda City i VTEC CVT VX,2015,45112, Petrol ,6900
Honda City i VTEC CVT VX,2015,40000, Petrol ,5500
Honda City i VTEC CVT VX,2015,38411, Petrol ,5890
Honda City i VTEC CVT VX,2015,32191, Petrol ,4750
Honda City i VTEC CVT VX,2016,99548, Petrol ,6900
Honda City i VTEC CVT VX,2016,83797, Petrol ,7500
Honda City i VTEC CVT VX,2016,80815, Petrol ,6800
Honda City i VTEC CVT VX,2016,78982, Petrol ,8000
Honda City i VTEC CVT VX,2016,73147, Petrol ,5000
Honda City i VTEC CVT VX,2016,67329, Petrol ,7620
